name,address,city,postcode,country,lat,lng,website,operator,phone,opening_hours
The Windmills End,393 Long Lane,Birmingham,B65 0JE,GB,52.47479,-2.0381345,,,,"Mo-Th 10:00-22:00; Fr,Sa 10:00-24:00; Su 11:00-22:00"
Pup and Duckling,1 Hatchford Brook Road,Solihull,B92 9AG,GB,52.4460151,-1.7771661,https://pupandduckling.co.uk/,,,We-Sa 17:00-22:00; Su 12:00-15:00; Mo-Tu off
The Last Jar,10 Beet Street,Rowley Regis,B65 0HJ,GB,52.4759042,-2.0412467,,,,
The Knights Quest,126 High Street,Birmingham,B65 0EE,GB,52.4760145,-2.0442384,,,,
Sir Robert Peel,,Birmingham,,GB,52.4801319,-2.041746,,,,
The Hawthorns,162 Ross,Birmingham,B65 8BW,GB,52.4767553,-2.0467407,,,,Mo-Th 14:00-23:00; Fr-Su 12:00-24:00+
The Britannia,Halesowen Street,Rowley Regis,B65 0ES,GB,52.4737713,-2.0418834,,,,
The Malt Shovel,,Birmingham,,GB,52.4756905,-2.0449075,,,,
Rock and Roll Brewhouse,19 Hall Street,Birmingham,B18 6BS,GB,52.4878625,-1.9088395,,,,
The Midland,526-528 Bearwood Road,Birmingham,B66 4BX,GB,52.4760597,-1.969879,https://www.blackcountryales.co.uk/pubs/the-midland,Black Country Ales,+44 121 269 4116,
Attic Brew Co.,29B Mary Vale Road,Birmingham,B30 2DA,GB,52.4262647,-1.9254014,https://atticbrewco.com/,,,We-Fr 17:00-23:00; Sa 13:00-23:00; Su 13:00-22:00
The Atrium,,Birmingham,B40 1NT,GB,52.4546272,-1.717922,,,,
Hop & Scotch,,Birmingham,,GB,52.4337521,-1.8922043,,,,
The Good Intent,32-33 Great Western Arcade,Birmingham,B2 5HU,GB,52.4818671,-1.8972599,http://www.craddocksbrewery.co.uk,,+44 121 572 5788,Mo-Sa 12:00-23:00; Su 12:00-20:00
Burning Soul Taproom,,Birmingham,,GB,52.4889908,-1.9054923,,,,
The Colmore,"114,116 Colmore Row",Birmingham,B3 3BD,GB,52.4804766,-1.9015274,,,,
The Wellington,,Birmingham,,GB,52.4719141,-1.8993714,,,,
GlassHouse,1649-1652 Pershore Road,Birmingham,B30 3DR,GB,52.4219842,-1.923876,https://glasshousebeer.co.uk/,,,Fr 17:00-22:00; Sa 13:00-22:00; Su 14:00-21:00
The Pub at Kings Heath,,Birmingham,,GB,52.4330572,-1.8928309,,,,
The London and North Western,Smallbrook Queensway,Birmingham,B2 4QE,GB,52.4769243,-1.8997012,https://www.jdwetherspoon.com/pubs/all-pubs/england/west-midlands/the-london-and-north-western,,,
The Barrel Store by Attic,Water Street,Birmingham,B3 1HL,GB,52.4859021,-1.902412,https://atticbrewco.com/pages/the-barrel-store,,,Th-Fr 16:00-23:00; Sa 13:00-23:00; Su 13:00-18:00
Brewhouse micropub,49 Boundary Road,Sutton Coldfield,B74 2JR,GB,52.5718365,-1.8857739,,,,"Mo Closed, Tu-Th 17:00 - 22:30, Fr 15:00 - 22:30, Sa 12:00 - 22:30, Su 12:00 - 21:00"
NEC Wetherspoons,,Birmingham,B40 1NT,GB,52.4539232,-1.7170217,,,,
The Old Court,,Birmingham,,GB,52.4358049,-1.89283,,,,
Hare & Hounds,,Birmingham,,GB,52.4346757,-1.8929687,,,,
Deadbeat,1473 Pershore Road,Birmingham,B30 2JL,GB,52.4256261,-1.9221232,https://instagram.com/deadbeatbham,,,We-Sa 14:00-23:00 Su 14:00-21:00
The Ruin,,Birmingham,,GB,52.4764405,-1.8838339,,,,
Royal Oak,,Birmingham,,GB,52.5244323,-2.0476036,,,,
The Gough Arms,,Birmingham,,GB,52.5397502,-2.003672,,,,
Brewdog,81-87 John Bright Street,Birmingham,B1 1BL,GB,52.4771342,-1.9015611,,,,
Fletchers,,Birmingham,,GB,52.4344025,-1.8934453,,,,
The Queen Inn Cookhouse & Pub,,Birmingham,,GB,52.5226873,-1.993337,,,,
The Pub At Bearwood,537 Bearwood Road,Birmingham,,GB,52.4756592,-1.9693898,,,,
The Windsor Complex,377 Bearwood Road,Birmingham,,GB,52.4795728,-1.9694324,https://www.windsorcomplex.com,,,
Ale Hub,73 Main Street,Solihull,B90 1UB,GB,52.384851,-1.8364103,,,,
The Newhall Street Tavern,106-110 Edmund Street,Birmingham,B3 2ES,GB,52.4816866,-1.9020015,,,,
Merlins,,Birmingham,,GB,52.4802596,-1.8955539,,,,
Fox and Chance,,Birmingham,,GB,52.4790615,-1.9016428,,,,
Pitcher & Piano,,Birmingham,,GB,52.4780978,-1.9117013,,,,
The Alchemist,,Birmingham,,GB,52.4783454,-1.9124935,,,,
The Fox,,Birmingham,,GB,52.4721828,-1.8958214,,,,
Waterside Tap,46 Gas Street,Birmingham,B1 2JT,GB,52.4768335,-1.9093871,https://www.joulesbrewery.co.uk/our-taphouses/waterside-tap-gas-street/,Joules,,
Indian Brewery Taproom,1 Mary Ann Street,Birmingham,B3 1RL,GB,52.4859812,-1.9039185,https://www.indianbrewery.com/,,+44 121 296 9000,We-Th 16:30-23:00 Fr-Sa 12:00-23:00 Su 12:00-20:00
The White Lion,,Birmingham,,GB,52.4823577,-1.9002684,,,,
The Woodman,1 Curzon Street,Birmingham,B4 7XG,GB,52.4817553,-1.8868214,https://woodmanbirmingham.co.uk/,,+44 121 572 9863,Su-Th 12:00-23:00; Fr-Sa 12:00-00:00
The Cloak and Dagger,1381 Pershore Road,Birmingham,B30 2JR,GB,52.4276816,-1.9225223,https://www.instagram.com/thecloakanddagger.b30,,,"Tu-Sa 12:00-23:00, Su 12:00-22:00"
The White Lion,,Birmingham,B92 0AA,GB,52.4248087,-1.7021911,,,,
The Tunnel,Hawkesley Square,Birmingham,B38 9TU,GB,52.3945221,-1.9366465,,,,
Reflex 80s Bar,Broad Street,Birmingham,B1 2DY,GB,52.4782224,-1.9106436,https://www.reflex-bars.co.uk/birmingham,Stonegate,,
The Lady Westminster,19-21 Olton Boulevard East,Birmingham,B27 7RR,GB,52.4434816,-1.8343936,,,,
Bull Ring Tavern,1 Digbeth,Birmingham,B5 6BH,GB,52.4767731,-1.892634,https://www.craftunionpubs.com/bullring-tavern-digbeth,,,Su-Th 10:00-23:00; Fr-Sa 10:00-01:00
Queens Arms,150 Newhall Street,Birmingham,B3 1RY,GB,52.4836428,-1.9066085,,,,
